frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
251,25.464,39.24,25.75,1,0.7629,0.756,10909.0
252,25.564,39.36,25.7,1,0.7296,0.737,11922.0
253,25.664,39.12,25.68,1,0.7654,0.732,12231.0
254,25.765,39.81,25.65,1,0.7635,0.722,11672.0
255,25.864,39.02,25.65,1,0.7206,0.711,12397.0
256,25.963,38.29,25.67,1,0.7063,0.704,12543.0
257,26.065,40.24,25.65,1,0.7079,0.693,12978.0
258,26.165,40.17,25.6,1,0.7014,0.683,13743.0
259,26.266,39.96,25.57,1,0.6541,0.683,14857.0
260,26.365,39.9,25.55,1,0.671,0.673,14773.0
261,26.465,39.09,25.53,1,0.7275,0.678,14550.0
262,26.565,39.47,25.52,1,0.7273,0.68,14041.0
263,26.664,38.35,25.51,1,0.7362,0.683,13852.0
264,26.765,39.16,25.5,1,0.6813,0.69,15968.0
265,26.866,39.85,25.48,1,0.8079,0.694,8907.0
266,26.963,38.4,25.49,0,0.0,0.0,0.0
267,27.066,39.6,25.52,1,0.7218,0.647,16067.0
268,27.164,38.78,25.53,1,0.8148,0.636,17355.0
269,27.265,39.27,25.53,1,0.7947,0.619,14105.0
270,27.366,39.8,25.51,1,0.7503,0.611,11438.0
271,27.465,38.28,25.52,0,0.0,0.0,0.0
272,27.561,35.52,25.59,0,0.0,0.0,0.0
273,27.665,38.05,25.61,0,0.0,0.0,0.0
274,27.766,39.65,25.57,0,0.0,0.0,0.0
275,27.866,39.09,25.57,0,0.0,0.0,0.0
276,27.965,38.62,25.59,0,0.0,0.0,0.0
277,28.066,39.48,25.61,0,0.0,0.0,0.0
278,28.166,39.05,25.59,0,0.0,0.0,0.0
279,28.264,37.36,25.62,0,0.0,0.0,0.0
280,28.364,37.92,25.64,1,0.5492,0.573,1228.0
281,28.465,38.23,25.67,1,0.7748,0.551,22315.0
282,28.568,40.52,25.64,2,0.7447,0.55,17551.0
283,28.666,39.05,25.64,1,0.822,0.549,11627.0
284,28.766,39.49,25.65,2,0.8088,0.524,12012.0
285,28.865,38.29,25.66,1,0.8213,0.542,13829.0
286,28.966,38.95,25.65,1,0.7977,0.537,12823.0
287,29.066,39.05,25.68,1,0.8066,0.537,12874.0
288,29.166,38.45,25.71,1,0.8171,0.537,12721.0
289,29.266,38.77,25.74,1,0.8078,0.536,12780.0
290,29.366,38.75,25.77,1,0.8095,0.534,12898.0
291,29.467,39.14,25.76,1,0.8245,0.533,12928.0
292,29.567,38.84,25.78,1,0.8135,0.533,12686.0
293,29.666,38.41,25.78,1,0.8108,0.537,12368.0
294,29.768,39.57,25.77,2,0.7644,0.507,7882.0
295,29.862,35.31,25.87,2,0.8179,0.514,8551.0
296,29.966,38.51,25.87,2,0.8498,0.518,10644.0
297,30.069,40.09,25.86,2,0.8264,0.518,10358.0
298,30.163,35.25,25.93,1,0.7381,0.539,11486.0
299,30.265,37.38,25.98,1,0.7153,0.52,12833.0
300,30.361,34.6,26.09,0,0.0,0.0,0.0
301,30.465,37.83,26.1,0,0.0,0.0,0.0
302,30.566,37.46,26.06,0,0.0,0.0,0.0
303,30.668,39.33,26.03,0,0.0,0.0,0.0
304,30.767,38.37,26.06,0,0.0,0.0,0.0
305,30.868,39.41,26.05,0,0.0,0.0,0.0
306,30.967,38.27,26.06,0,0.0,0.0,0.0
307,31.067,37.76,26.1,0,0.0,0.0,0.0
308,31.166,37.33,26.14,0,0.0,0.0,0.0
309,31.268,38.53,26.11,0,0.0,0.0,0.0
310,31.366,37.36,26.13,0,0.0,0.0,0.0
311,31.467,37.67,26.14,0,0.0,0.0,0.0
312,31.569,38.5,26.18,0,0.0,0.0,0.0
313,31.668,38.6,26.2,0,0.0,0.0,0.0
314,31.769,39.59,26.19,0,0.0,0.0,0.0
315,31.863,34.86,26.27,0,0.0,0.0,0.0
316,31.964,34.87,26.37,0,0.0,0.0,0.0
317,32.069,39.55,26.35,0,0.0,0.0,0.0
318,32.168,38.71,26.35,0,0.0,0.0,0.0
319,32.263,34.25,26.45,0,0.0,0.0,0.0
